cid,isosmiles
72204814,CC/C=C\\C[C@H](/C=C/C=C\\C/C=C\\C=C\\[C@H](/C=C\\CCCC(=O)O)O)O
73755062,CC/C=C\\C[C@@H](/C=C/C=C\\C=C\\C=C\\[C@@H]([C@H](C/C=C\\CCC(=O)O)O)O)O
77845952,CC/C=C\\C[C@H](/C=C/C=C\\C[C@H](/C=C/C=C/C=C\\[C@H](CCC(=O)O)O)O)O
78401031,CC(=O)OC1=CC=CC=C1C(=O)O.CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O
86676097,CC(=O)OC1=CC=CC=C1C(=O)O.C([C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)O
90478514,CC(=O)OC1=CC=CC=C1C(=O)[O-].[OH-].[OH-].[Al+3]
91819941,CC/C=C\\C[C@H](/C=C/C=C\\C[C@H](/C=C/C=C/C=C\\[C@H](CCC(=O)[O-])O)O)O
91820043,CC/C=C\\C[C@H](/C=C/C=C\\C=C\\C=C\\[C@H]([C@H](C/C=C\\CCC(=O)[O-])O)O)O
91820534,CC/C=C\\C[C@H]([C@@H](/C=C/C=C/C=C\\C=C\\[C@H](C/C=C\\CCC(=O)[O-])O)O)O
102337568,CC/C=C/CC(/C=C/C=C/C=C/C=C/C(C(C/C=C/CCC(=O)O)O)O)O
123131972,CCOC1=CC=C(C=C1)NC(=O)C.CC(=O)OC1=CC=CC=C1C(=O)O.CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O
129672411,CC(=O)OC1=CC=CC=C1C(=O)O.O
129682947,CCCC(CCC)C(=O)O.CC(=O)OC1=CC=CC=C1C(=O)O
131716973,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)[O-].CC(=O)OC1=CC=CC=C1C(=O)O.[Na+]
131750206,CCCCNCC(C1=CC=C(C=C1)O)O.C/C=C(\\C)/C(=O)O[C@H]1[C@@H]([C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H]([C@]5(C)CO)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)C)C)[C@@H]2CC1(C)C)C)CO)OC(=O)C.CC(=O)OC1=CC=CC=C1C(=O)O
131953074,CC/C=C\\C[C@H](/C=C/C=C\\C/C=C\\C=C\\C=C\\[C@H]([C@H](CCC(=O)O)O)O)O
132282528,CC/C=C\\C[C@H](/C=C\\C=C\\C=C\\[C@@H](C/C=C\\C/C=C\\CCC(=O)[O-])O)O
134716626,CC(=O)OC1=CC=CC=C1C(=O)OC2=C(C=C(C=C2)F)C3=NC4=CC=CC=C4S3
138319320,CC/C=C\\C[C@H](/C=C/C=C\\C/C=C\\C=C\\C=C\\[C@H]([C@H](CCC(=O)[O-])O)O)O
139196121,CC(=O)OC1=C(C=C(C=C1)Cl)C(=O)OC(=O)C2=C(C=CC(=C2)Cl)OC(=O)C
139196122,CC(=O)OC1=C(C=C(C=C1)Br)C(=O)OC(=O)C2=C(C=CC(=C2)Br)OC(=O)C
139196123,CC1=CC(=C(C=C1)OC(=O)C)C(=O)OC(=O)C2=C(C=CC(=C2)C)OC(=O)C
